Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,Year,Preformance Index,School Type,White,Asian,Black,Hispanic,AYP Met?
5,Cincinnati City,043752,Academy for Multilingual Immersion Studies,145581,"7001 Reading Rd Cincinnati, OH   45237-3802",2010,78.4,"P,K-8",,,,,Met
0,Danville Local,047837,Danville Middle School,145631,"PO Box 30 Danville, OH   43014-0030",2010,94.6,7-8,,,,,Met
5,Cincinnati City,043752,Riverview East Academy,145722,"3555 Kellogg Ave Cincinnati, OH   45226-2180",2010,73.60000000000001,"K-12,P",,,,,Not Met
5,Avon Local,048116,Avon Heritage North Elementary School,145748,"35575 Detroit Rd Avon, OH   44011-1639",2010,104.2,5-6,,,,,Met
1,Struthers City,044859,Struthers Elementary School,145870,"520 9th St Struthers, OH   44471-1038",2010,99.4,K-4,,,,,Met
0,Olentangy Local,046763,Olentangy Liberty High School,145953,"3584 Home Rd Powell, OH   43065-9757",2010,110.8,9-12,,,,,Met
0,Greeneview Local,047266,Greeneview Primary School,145987,"51 N Limestone St Jamestown, OH   45335-1550",2010,104.8,K-3,,,,,Met
7,Lima City,044222,Unity Elementary School,146035,"925 E 3rd St Lima, OH   45804-2505",2010,87.7,K-4,,,,,Not Met
7,Lima City,044222,Freedom Elementary School,146043,"575 Calumet Ave Lima, OH   45804-1405",2010,85.7,K-4,,,,,Met
7,Lima City,044222,Heritage Elementary School,146050,"816 College Ave Lima, OH   45805-2025",2010,93.2,K-4,,,,,Met
1,Dublin City,047027,Eli Pinney Elementary School,146084,"9989 Concord Rd Dublin, OH   43017-8511",2010,105.4,"K-5,P",,,,,Met
1,Marysville Exempted Village,045476,Navin Elementary School,146134,"16265 County Home Rd Marysville, OH   43040-9710",2010,100.4,K-4,,,,,Met
5,Westerville City,045047,Fouse Elementary School,146167,"5800 S Old 3c Hwy Westerville, OH   43082-8058",2010,103.2,K-5,,,,,Met
5,Westerville City,045047,Alcott Elementary School,146175,"7117 Mount Royal Ave Westerville, OH   43082-8392",2010,104.9,K-5,,,,,Met
5,Westerville City,045047,Westerville Central High School,146183,"7118 Mount Royal Ave Westerville, OH   43082-8393",2010,102.2,9-12,,,,,Not Met
0,Westfall Local,049106,Westfall Elementary School,146209,"9391 State Route 56 Williamsport, OH   43164-9743",2010,95.6,K-5,,,,,Not Met
1,Western Reserve Local,047746,Western Reserve Elementary School,146217,"3851 US Hwy 20 Collins, OH   44826",2010,96.2,K-6,,,,,Met
0,Wheelersburg Local,049668,Wheelersburg Middle School,146308,"800 Pirate Dr Wheelersburg, OH   45694-9088",2010,98.4,4-8,,,,,Met
0,Minster Local,045948,Minster Elementary School,146332,"86 N Hanover St Minster, OH   45865-1009",2010,111.5,K-3,,,,,Met
5,Cincinnati City,043752,Withrow University High School,146365,"2520 Madison Rd Cincinnati, OH   45208-1257",2010,89.3,9-12,,,,,Not Met
