Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Parma City,044636,Pleasant Valley Elementary School,030353,"9906 W Pleasant Valley Rd Parma, OH   44130-6009",K-6,-81.75511589999999,41.36528759999999
,Parma City,044636,Pleasantview Elementary School,030387,"7700 Malibu Dr Parma, OH   44130-7203",K-6,-81.7693319,41.3577192
,Fairfield Union Local,046870,Pleasantville Elementary School,030395,"300 W. Columbus Street Pleasantville, OH   43148",K-4,-82.5257709,39.8085043
,Ashtabula Area City,043513,Plymouth Elementary School,030403,"1002 Plymouth Brick Rd Ashtabula, OH   44004-9150",K-6,-80.7525239,41.834798
,Plymouth-Shiloh Local,049460,Plymouth High School,030429,"400 Trux St Plymouth, OH   44865-1099",9-12,-82.6532392,40.9867715
,Poland Local,048348,Poland Middle School,030445,"47 College St Poland, OH   44514-2008",7-8,-80.6129177,41.0199199
,Poland Local,048348,Poland Seminary High School,030452,"3199 Dobbins Rd Poland, OH   44514-2327",9-12,-80.5917508,41.00349689999999
,Barberton City,043539,Portage Elementary School,030528,"800 Wooster Rd N Barberton, OH   44203-1661",K-5,-81.59019239999999,41.02839960000001
,Akron City,043489,Portage Path Elementary School,030536,"400 W Market St Akron, OH   44303-2011",K-5,-81.5312402,41.0903853
,Portsmouth City,044669,Portsmouth High School,030569,"1225 Gallia St Portsmouth, OH   45662-4216",7-12,-82.9882904,38.7363164
,Washington-Nile Local,049650,Portsmouth West High School,030585,"15332 Us Highway 52 West Portsmouth, OH   45663-9093",9-12,-83.05210269999999,38.7146889
,Clark-Shawnee Local,046284,Possum Elementary School,030593,"2589 S Yellow Springs Rd Springfield, OH   45506",1-8,-83.8367978,39.889788
,Amherst Exempted Village,045195,Powers Elementary School,030635,"401 Washington St Amherst, OH   44001-1551",2-3,-82.2203375,41.4037209
,Switzerland of Ohio Local,048652,Powhatan Elementary School,030643,"125 2nd St Powhatan Point, OH   43942-1128",K-8,-80.80626529999999,39.8593501
,South-Western City,044800,Prairie Lincoln Elementary School,030676,"4900 Amesbury Way Columbus, OH   43228-1226",K-4,-83.132817,39.9579877
,South-Western City,044800,Prairie Norton Elementary School,030684,"117 Norton Rd Columbus, OH   43228-1713",K-4,-83.14094399999999,39.949124
,Kettering City,044180,Prass Elementary School,030692,"2601 Parklawn Dr Kettering, OH   45440-1251",K-5,-84.117314,39.678771
,Cuyahoga Falls City,043836,Preston Elementary School,030700,"800 Tallmadge Rd Cuyahoga Falls, OH   44221-5016",K-5,-81.472206,41.1246962
,Princeton City,044677,Princeton Community Middle School,030742,"11157 Chester Rd Cincinnati, OH   45246-3803",6-8,-84.44831099999999,39.274169
,Princeton City,044677,Princeton High School,030759,"11080 Chester Rd Cincinnati, OH   45246-3802",9-12,-84.44360429999999,39.2712111
,Mansfield City,044297,Prospect Elementary School,030775,"485 Gilbert Ave Mansfield, OH   44907-1303","K-3,P",-82.52024519999999,40.7456338
,Elyria City Schools,043943,Prospect Elementary School,030783,"1410 Prospect St Elyria, OH   44035-7160",K-5,-82.0856809,41.355184
,East Cleveland City School District,043901,Prospect Elementary School,030791,"1843 Stanwood Rd East Cleveland, OH   44112-2901",K-6,-81.57358839999999,41.5350493
,Oberlin City Schools,044594,Prospect Elementary School,030809,"36 S Prospect St Oberlin, OH   44074-1410",3-5,-82.22887159999999,41.29079309999999
,Elgin Local,048413,Elgin South Elementary School,030825,"200 N East St Prospect, OH   43342-9574",K-6,-83.187286,40.45244
,Port Clinton City,044651,Port Clinton Middle School,030833,"110 E 4th St Port Clinton, OH   43452-1901",6-8,-82.940129,41.508393
,Port Clinton City,044651,Port Clinton High School,030841,"821 Jefferson St Port Clinton, OH   43452-2415",9-12,-82.9379716,41.5041086
,Indian Valley Local,050286,Port Washington Elementary School,030866,"PO Box 8 Port Washington, OH   43837-0008",K-5,-81.5206731,40.328124
,Put-In-Bay Local,048975,Put-In-Bay Elementary School,030890,"PO Box 659 Put In Bay, OH   43456-0659",K-6,-82.82636149999999,41.6512811
,Put-In-Bay Local,048975,Put-In-Bay High School,030908,"PO Box 659 Put In Bay, OH   43456-0659",7-12,-82.82636149999999,41.6512811
,Blanchester Local,046383,Putman Elementary School,030916,"327 E Baldwin St Blanchester, OH   45107-1203","K-3,P",-83.9867439,39.2975248
,Marietta City,044321,Putnam Elementary School,030924,"598 Masonic Park Rd Marietta, OH   45750-1041","K,1-5,SN",-81.4799889,39.4740804
,Pymatuning Valley Local,045880,Pymatuning Valley High School,030932,"PO Box 1180 Andover, OH   44003-1180",9-12,-80.572296,41.6067211
,Cincinnati City,043752,Quebec Heights Elementary School,030957,"1655 Ross Ave Cincinnati, OH   45205-1342","P,K-8",-84.5704781,39.1182453
,Benton Carroll Salem Local,048926,R C Waters Elementary School,030973,"220 E Ottawa St Oak Harbor, OH   43449-1458",K-5,-83.14086019999999,41.5104931
